name,ticker,yahoo_symbol,asset_type
Jupiter,JUP,JUP-USD,crypto
Filecoin,FIL,FIL-USD,crypto
GHO,GHO,GHO-USD,crypto
Arbitrum,ARB,ARB-USD,crypto
Flare,FLR,FLR-USD,crypto
Usual USD,USD0,USD0-USD,crypto
XDC Network,XDC,XDC-USD,crypto
YLDS,YLDS,YLDS-USD,crypto
Midnight,NIGHT,NIGHT-USD,crypto
TrueUSD,TUSD,TUSD-USD,crypto
A7A5,A7A5,A7A5-USD,crypto
Injective,INJ,INJ-USD,crypto
Aerodrome Finance,AERO,AERO-USD,crypto
PancakeSwap,CAKE,CAKE-USD,crypto
Dash,DASH,DASH-USD,crypto
EURC,EURC,EURC-USD,crypto
VeChain,VET,VET-USD,crypto
Celestia,TIA,TIA-USD,crypto
Pyth Network,PYTH,PYTH-USD,crypto
Ether.fi,ETHFI,ETHFI-USD,crypto
Virtuals Protocol,VIRTUAL,VIRTUAL-USD,crypto
Artificial Superintelligence Alliance,FET,FET-USD,crypto
Sun Token,SUN,SUN-USD,crypto
First Digital USD,FDUSD,FDUSD-USD,crypto
Bonk,BONK,BONK-USD,crypto
Kite,KITE,KITE-USD,crypto
Terra Luna Classic,LUNC,LUNC-USD,crypto
Jito,JTO,JTO-USD,crypto
Sei,SEI,SEI-USD,crypto
Curve DAO,CRV,CRV-USD,crypto
Gnosis,GNO,GNO-USD,crypto
Bitcoin SV,BSV,BSV-USD,crypto
BitTorrent,BTT,BTT-USD,crypto
Monad,MON,MON-USD,crypto
Velvet,VELVET,VELVET-USD,crypto
Olympus,OHM,OHM-USD,crypto
Lido DAO,LDO,LDO-USD,crypto
Pendle,PENDLE,PENDLE-USD,crypto
DoubleZero,2Z,2Z-USD,crypto
Tezos,XTZ,XTZ-USD,crypto
Decred,DCR,DCR-USD,crypto
Legacy Frax Dollar,FRAX,FRAX-USD,crypto
Plasma,XPL,XPL-USD,crypto
RealLink,REAL,REAL-USD,crypto
Conflux,CFX,CFX-USD,crypto
Kinesis Silver,KAG,KAG-USD,crypto
Maple Finance,SYRUP,SYRUP-USD,crypto
KOGE,KOGE,KOGE-USD,crypto
JasmyCoin,JASMY,JASMY-USD,crypto
Optimism,OP,OP-USD,crypto
FLOKI,FLOKI,FLOKI-USD,crypto
Ultima,ULTIMA,ULTIMA-USD,crypto
Zebec Network,ZBCN,ZBCN-USD,crypto
crvUSD,CRVUSD,CRVUSD-USD,crypto
Telcoin,TEL,TEL-USD,crypto
Kaia,KAIA,KAIA-USD,crypto
Starknet,STRK,STRK-USD,crypto
USDai,USDAI,USDAI-USD,crypto
USAT,USAT,USAT-USD,crypto
Pieverse,PIEVERSE,PIEVERSE-USD,crypto
EigenCloud (prev. EigenLayer),EIGEN,EIGEN-USD,crypto
Raydium,RAY,RAY-USD,crypto
WeFi,WFI,WFI-USD,crypto
Chiliz,CHZ,CHZ-USD,crypto
Akash Network,AKT,AKT-USD,crypto
Axie Infinity,AXS,AXS-USD,crypto
IOTA,IOTA,IOTA-USD,crypto
Ethereum Name Service,ENS,ENS-USD,crypto
KAITO,KAITO,KAITO-USD,crypto
BTSE Token,BTSE,BTSE-USD,crypto
SwissBorg,BORG,BORG-USD,crypto
Zano,ZANO,ZANO-USD,crypto
Cash Cat,CASHCAT,CASHCAT-USD,crypto
MX,MX,MX-USD,crypto
dogwifhat,WIF,WIF-USD,crypto
ApeCoin,APE,APE-USD,crypto
GUSD,GUSD,GUSD-USD,crypto
EUR CoinVertible,EURCV,EURCV-USD,crypto
Trust Wallet,TWT,TWT-USD,crypto
Onyxcoin,XCN,XCN-USD,crypto
Theta Network,THETA,THETA-USD,crypto
Fartcoin,FARTCOIN,FARTCOIN-USD,crypto
edgeX,EDGE,EDGE-USD,crypto
THORChain,RUNE,RUNE-USD,crypto
Decentraland,MANA,MANA-USD,crypto
NEO,NEO,NEO-USD,crypto
Humanity,H,H-USD,crypto
Strategy PP Variable xStock,STRCX,STRCX-USD,crypto
eCash,XEC,XEC-USD,crypto
Synthetix,SNX,SNX-USD,crypto
The Sandbox,SAND,SAND-USD,crypto
